epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.599,1.87616,3.19043,2.37362,0.33499,0.00794,0.00055,8e-05,3.5675,7.10885,5.36935,0.0701261,0.00331933,0.00331933
2,773.705,1.81501,3.05995,2.34063,0.33753,0.02211,0.00216,0.00055,3.25835,5.95002,3.73333,0.0400998,0.00662646,0.00662646
3,1159.27,1.72026,2.87623,2.27337,0.53502,0.0662,0.01697,0.00405,3.047,5.21687,3.57468,0.00996934,0.00982929,0.00982929
4,1544.96,1.68433,2.76707,2.20287,0.56063,0.05323,0.01296,0.0023,3.39914,5.2603,4.00682,0.00964923,0.00964923,0.00964923
5,1930.28,1.62911,2.74294,2.18018,0.5423,0.05273,0.0187,0.00405,3.00263,4.44856,3.50757,0.00938215,0.00938215,0.00938215
6,2316.29,1.62429,2.68212,2.16476,0.38115,0.08338,0.01515,0.00467,2.99099,4.10406,3.51131,0.00904604,0.00904604,0.00904604
7,2707.15,1.55104,2.58621,2.10072,0.59597,0.06497,0.03981,0.01414,2.90655,4.70505,3.55339,0.0086462,0.0086462,0.0086462
8,3099.55,1.53567,2.50918,2.07553,0.38987,0.08712,0.04563,0.01542,2.92422,4.04806,3.43347,0.00818893,0.00818893,0.00818893
9,3485.86,1.52539,2.48733,2.0626,0.43166,0.08042,0.04023,0.01764,2.81026,4.29251,3.36295,0.00768145,0.00768145,0.00768145
10,3874.08,1.48454,2.41089,2.02646,0.38217,0.07968,0.03525,0.01594,2.83193,4.08206,3.40976,0.00713177,0.00713177,0.00713177
11,4264.86,1.47976,2.39934,2.01911,0.41131,0.0588,0.04705,0.02347,2.68724,3.82368,3.25117,0.00654854,0.00654854,0.00654854
12,4654.35,1.43798,2.30849,1.98419,0.393,0.12436,0.05328,0.02004,2.73185,4.00714,3.23311,0.00594097,0.00594097,0.00594097
13,5042.9,1.42414,2.24745,1.95865,0.46227,0.1304,0.09213,0.04102,2.67619,3.57051,3.18382,0.00531864,0.00531864,0.00531864
14,5431.25,1.41075,2.24612,1.94767,0.39525,0.06349,0.06445,0.02691,2.72617,3.81896,3.32425,0.00469136,0.00469136,0.00469136
15,5819.33,1.35876,2.16187,1.90061,0.44518,0.1347,0.09563,0.04748,2.63417,3.39098,3.2312,0.00406903,0.00406903,0.00406903
16,6216.2,1.7814,3.06843,2.44544,0.25696,0.14808,0.09933,0.03715,2.5831,3.41304,3.06291,0.00346146,0.00346146,0.00346146
17,6597.54,1.77183,2.87073,2.40135,0.46307,0.14643,0.10922,0.05058,2.5999,3.27836,3.10365,0.00287823,0.00287823,0.00287823
18,6976.08,1.7021,2.75138,2.31195,0.54838,0.17646,0.13729,0.06752,2.42618,3.32044,2.91413,0.00232855,0.00232855,0.00232855
19,7357.91,1.65468,2.63223,2.23754,0.47737,0.17395,0.14845,0.07169,2.51825,3.14088,2.98942,0.00182107,0.00182107,0.00182107
20,7764.19,1.64237,2.55628,2.23043,0.6082,0.16091,0.20712,0.10257,2.48437,2.97672,2.97618,0.0013638,0.0013638,0.0013638
21,8159.92,1.60663,2.48865,2.18654,0.52013,0.23931,0.17911,0.09593,2.42323,2.82641,2.91369,0.00096396,0.00096396,0.00096396
22,8555.13,1.58572,2.41877,2.16505,0.54615,0.20492,0.18981,0.0895,2.38769,2.95594,2.78022,0.000627848,0.000627848,0.000627848
23,8951.94,1.56182,2.39409,2.13818,0.50358,0.24541,0.19872,0.10095,2.35543,2.86469,2.83085,0.000360766,0.000360766,0.000360766
24,9348.39,1.55654,2.34569,2.1284,0.52783,0.25472,0.20906,0.10348,2.36125,2.82683,2.81932,0.000166927,0.000166927,0.000166927
25,9745.6,1.54329,2.33321,2.12526,0.51617,0.27231,0.20092,0.09495,2.36054,2.83865,2.80865,4.93871e-05,4.93871e-05,4.93871e-05
