epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.788,1.95857,3.38425,2.43527,0.34539,0.01351,0.00177,0.00047,3.21562,7.31466,3.93778,0.0701685,0.00331461,0.00331461
2,614.058,1.95248,3.21056,2.4135,0.50458,0.02568,0.00182,0.00033,3.51116,8.44755,4.29705,0.040096,0.00657538,0.00657538
3,919.856,1.86971,3.12529,2.38496,0.35008,0.0336,0.01211,0.00516,3.13214,5.24306,3.9396,0.00973751,0.00955024,0.00955024
4,1225.1,1.74794,2.93411,2.2932,0.17533,0.08634,0.00425,0.00139,3.11022,5.63028,3.7678,0.00904604,0.00904604,0.00904604
5,1530.09,1.71633,2.88717,2.26596,0.54531,0.054,0.02473,0.00682,3.00675,4.14606,3.79794,0.00834731,0.00834731,0.00834731
6,1830.2,1.93287,3.52787,2.68047,0.41287,0.09912,0.04912,0.01593,2.70148,3.92826,3.24,0.0075025,0.0075025,0.0075025
7,2132.92,1.90425,3.33501,2.63947,0.21588,0.12919,0.0849,0.03177,2.83504,3.86926,3.24822,0.00654854,0.00654854,0.00654854
8,2432.92,1.88141,3.20643,2.61439,0.98591,0.08602,0.11126,0.04224,2.65826,3.8651,3.05344,0.00552712,0.00552712,0.00552712
9,2735.98,1.85101,3.12201,2.51816,0.21238,0.21068,0.06805,0.03146,2.60925,3.61849,3.17504,0.00448288,0.00448288,0.00448288
10,3039.31,1.7951,3.06219,2.4539,0.91809,0.09524,0.128,0.04398,2.56073,3.48198,3.11235,0.00346146,0.00346146,0.00346146
11,3343.39,1.76745,2.93127,2.41749,0.47919,0.16838,0.13145,0.04879,2.55697,3.34147,3.06512,0.0025075,0.0025075,0.0025075
12,3643.2,1.73041,2.85974,2.34658,0.46909,0.2106,0.14488,0.05607,2.5317,3.24203,3.0585,0.00166269,0.00166269,0.00166269
13,3945.12,1.71564,2.79939,2.32991,0.27262,0.19893,0.15818,0.06758,2.49859,3.17408,2.98822,0.00096396,0.00096396,0.00096396
14,4249.35,1.68211,2.73428,2.31164,0.49243,0.21505,0.18444,0.07557,2.49484,3.22475,2.98575,0.00044184,0.00044184,0.00044184
15,4556.85,1.65248,2.70984,2.2761,0.50531,0.21501,0.19215,0.08052,2.48111,3.16739,2.98025,0.000119153,0.000119153,0.000119153
