epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1529.88,1.97178,3.07722,2.52516,0.87938,0.08677,0.16204,0.0593,2.45442,23.2629,3.02516,0.0700347,0.00332948,0.00332948
2,3035.33,1.83124,2.57039,2.39514,0.38972,0.28121,0.25768,0.09479,2.29221,2.69992,2.67319,0.0398718,0.00649992,0.00649992
3,4535.56,1.68903,2.21961,2.22466,0.46716,0.37434,0.31734,0.11837,2.41013,2.54814,2.83973,0.00908113,0.00904255,0.00904255
4,6037.23,1.60116,1.97474,2.12993,0.48157,0.51609,0.48107,0.18929,2.12525,2.08888,2.57985,0.00794099,0.00794099,0.00794099
5,7545.97,1.50758,1.78377,2.01866,0.69611,0.45164,0.54207,0.25965,2.04521,1.99016,2.40216,0.00654854,0.00654854,0.00654854
6,9038.14,1.43103,1.63172,1.92065,0.64621,0.51475,0.56689,0.24131,2.12889,1.93543,2.55609,0.005005,0.005005,0.005005
7,10448.1,1.34211,1.48533,1.82381,0.51462,0.61684,0.59596,0.24796,2.05895,1.95155,2.4216,0.00346146,0.00346146,0.00346146
8,11831.1,1.28585,1.36507,1.75886,0.78756,0.61117,0.68924,0.35298,1.80502,1.67118,2.15877,0.00206901,0.00206901,0.00206901
9,13306.8,1.22625,1.25916,1.69247,0.73207,0.61387,0.701,0.33173,1.90263,1.62064,2.21005,0.00096396,0.00096396,0.00096396
10,14833.9,1.18017,1.18768,1.65038,0.74145,0.65936,0.70069,0.34597,1.8837,1.5756,2.23017,0.000254473,0.000254473,0.000254473
